Date,State,NumOfTrans,Amt
2018-01,GA,19,28817.63
2018-02,GA,27,23679.91
2018-03,GA,9,28442.96
2018-04,GA,20,11244.45
2018-05,GA,23,27168.67
2018-06,GA,7,28432.58
2018-07,GA,20,17829.06
2018-08,GA,7,27041.78
2018-09,GA,12,14978.88
2018-10,GA,20,2682.11
2018-11,GA,13,25472.2
2018-12,GA,18,14409.77
2019-01,GA,20,17291.23
2019-02,GA,23,8768.53
2019-03,GA,7,9347.62
2019-04,GA,20,7813.85
2019-05,GA,7,7749.15
2019-06,GA,12,5463.83
2019-07,GA,20,2868.56
2019-08,GA,13,15865.49
2019-09,GA,18,2974.44
2018-01,AR,21,1493.11
2018-02,AR,24,5085.36
2018-03,AR,18,8149.69
2018-04,AR,1,8989.77
2018-05,AR,18,8211.06
2018-06,AR,11,10871.8
2018-07,AR,1,3350
2018-08,AR,37,9819.97
2018-09,AR,15,4753.25
2018-10,AR,42,10422.9
2018-11,AR,21,5585.59
2018-12,AR,13,8267.5
2019-01,AR,21,1493.11
2019-02,AR,24,5085.36
2019-03,AR,18,8149.69
2019-04,AR,1,8989.77
2019-05,AR,18,8211.06
2019-06,AR,11,10871.8
2019-07,AR,1,3350
2019-08,AR,37,9819.97
2019-09,AR,15,4753.25
2018-01,HI,19,2164.8
2018-02,HI,4,290.83
2018-03,HI,13,2237.38
2018-04,HI,17,5216.71
2018-05,HI,24,317.62
2018-06,HI,14,7678.8
2018-07,HI,17,2044
2018-08,HI,15,6828.95
2018-09,HI,5,1464.22
2018-10,HI,19,987.63
2018-11,HI,7,190.72
2018-12,HI,3,3578.34
2019-01,HI,19,10860.8
2019-02,HI,26,23305.63
2019-03,HI,6,22665.95
2019-04,HI,5,3289.21
2019-05,HI,19,23727.86
2019-06,HI,23,4839.19
2019-07,HI,14,10617.6
2019-08,HI,17,256.29
2019-09,HI,3,5437.47
2018-01,IN,18,9604.44
2018-02,IN,17,4243.29
2018-03,IN,17,4376.86
2018-04,IN,21,12672.35
2018-05,IN,22,2565.47
2018-06,IN,12,8986.15
2018-07,IN,20,169.55
2018-08,IN,17,1128.22
2018-09,IN,30,2313.87
2018-10,IN,7,12523.98
2018-11,IN,13,5189.56
2018-12,IN,2,11726.27
2019-01,IN,44,11643.71
2019-02,IN,20,265.99
2019-03,IN,38,12689.44
2019-04,IN,9,15877.32
2019-05,IN,18,55.7
2019-06,IN,33,9420.99
2019-07,IN,5,17577.43
2019-08,IN,27,668.12
2019-09,IN,30,301.3
2018-01,AL,28,34538.22
2018-02,AL,27,49609.52
2018-03,AL,6,32780.07
2018-04,AL,47,46576.79
2018-05,AL,26,11115.83
2018-06,AL,34,49992.18
2018-07,AL,38,2723.29
2018-08,AL,37,44780.29
2018-09,AL,36,10884.84
2018-10,AL,27,11143.58
2018-11,AL,33,30744.81
2018-12,AL,11,10268.59
2019-01,AL,58,20955.25
2019-02,AL,55,2549.71
2019-03,AL,12,9732.09
2019-04,AL,40,8581.62
2019-05,AL,38,7169.99
2019-06,AL,19,12132.61
2019-07,AL,8,20142.79
2019-08,AL,31,19121.48
2019-09,AL,36,1142.47
2018-01,RI,31,3592.96
2018-02,RI,13,6424.41
2018-03,RI,34,2634.9
2018-04,RI,10,6706.45
2018-05,RI,19,4548.82
2018-06,RI,12,7014.29
2018-07,RI,28,5551.38
2018-08,RI,17,7482.16
2018-09,RI,8,1799.31
2018-10,RI,29,2052.9
2018-11,RI,27,5845.74
2018-12,RI,20,1604.68
2019-01,RI,4,24691.91
2019-02,RI,10,11207.67
2019-03,RI,27,29749.84
2019-04,RI,8,12110.34
2019-05,RI,19,26806.09
2019-06,RI,21,8422.2
2019-07,RI,21,23836.62
2019-08,RI,22,5456.82
2019-09,RI,25,7305.52
2018-01,MI,14,3868.05
2018-02,MI,3,1088.29
2018-03,MI,11,248.07
2018-04,MI,8,201.45
2018-05,MI,13,500.78
2018-06,MI,3,8774.68
2018-07,MI,7,3038.8
2018-08,MI,13,86.62
2018-09,MI,4,8597.59
2018-10,MI,16,9363.3
2018-11,MI,4,9434.04
2018-12,MI,11,10523.33
2019-01,MI,93,14828.3
2019-02,MI,35,15562.85
2019-03,MI,98,15155.89
2019-04,MI,39,14713.21
2019-05,MI,45,15694.31
2019-06,MI,44,34886.46
2019-07,MI,22,19352.86
2019-08,MI,22,2152.42
2019-09,MI,57,15507.7
2018-11,PA,63,11569
2018-12,PA,34,13438
2019-01,PA,33,13310
2019-02,PA,42,6549
2019-03,PA,64,7875
2019-04,PA,37,12345
2019-05,PA,49,8717
2019-06,PA,1,653
2019-07,PA,49,6210
2019-08,PA,14,1574
2019-09,PA,46,12905
2019-10,PA,67,8314
2018-11,MS,63,11569
2018-12,MS,34,13438
2019-01,MS,33,13310
2019-02,MS,42,6549
2019-03,MS,64,7875
2019-04,MS,37,12345
2019-05,MS,49,8717
2019-06,MS,1,653
2019-07,MS,49,6210
2019-08,MS,14,1574
2019-09,MS,46,12905
2019-10,MS,67,8314
2018-11,VT,17,6060
2018-12,VT,42,1400
2019-01,VT,32,13127
2019-02,VT,11,11808
2019-03,VT,6,463
2019-04,VT,7,1113
2019-05,VT,36,7089
2019-06,VT,4,3002
2019-07,VT,29,10474
2019-08,VT,36,5282
2019-09,VT,14,15796
2019-10,VT,39,12955
2018-11,MN,2,210
2018-12,MN,2,14980
2019-01,MN,32,18323
2019-02,MN,15,5444
2019-03,MN,25,12585
2019-04,MN,9,526
2019-05,MN,5,300
2019-06,MN,9,8713
2019-07,MN,31,5980
2019-08,MN,28,16089
2019-09,MN,14,4421
2019-10,MN,1,17404
